all_text_label,pre_label,Label,AppType_Analytical,AppType_Reuse Component,AppType_SAP GUI,AppType_Transactional,"AppType_Transactional, Analytical","AppType_Transactional, Fact sheet","AppType_Transactional, Reuse Component",AppType_Web Client UI,AppType_Web Dynpro,LeadingIndustry_,LeadingIndustry_Agribusiness (Consumer Products),LeadingIndustry_Consumer Products,LeadingIndustry_Cross Industry,LeadingIndustry_Cross Industry; Retail,LeadingIndustry_Defense and Security,LeadingIndustry_Higher Education and Research,LeadingIndustry_Insurance,"LeadingIndustry_Oil, Gas, and Energy",LeadingIndustry_Public Sector,LeadingIndustry_Retail,GTMLoBName_freq,Information_freq,PFDBIndustry_freq,fioriId_grp,AppKeyFeatures_grp,AppName_grp,ApplicationComponentText_grp,BusinessRoleDescription_grp,CombinedTitle_grp,GTMAppDescription_grp,GTMAppName_grp,GTMInnovationName_grp,RoleCombinedToolTipDescription_grp,SolutionsCapability_grp,Subtitle_grp,Title_grp,svd_0,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,svd_11,svd_12,svd_13,svd_14,svd_15,svd_16,svd_17,svd_18,svd_19,svd_20,svd_21,svd_22,svd_23,svd_24,svd_25,svd_26,svd_27,svd_28,svd_29,svd_30,svd_31,svd_32,svd_33,svd_34,svd_35,svd_36,svd_37,svd_38,svd_39,svd_40,svd_41,svd_42,svd_43,svd_44,svd_45,svd_46,svd_47,svd_48,svd_49
"Plan Repairs Call up a worklist of all repair objects to individually plan their diagnosis or repair (statuses Plan: Diagnosis or Plan: Repair). You can filter, sort, and group a list of repair objects to be planned. You can also filter for repair objects to be planned by a specific employee responsible or by the credit status that has been determined in the repair order. Display the details of the repair objects that are currently in planning. You can access the related product and equipment data to check its details.​ Create a returns order to trigger the logistics process for repair objects that customers send for repair. In this case, you can create an outbound delivery to send the repair object back to the customer. Access the repair order to enter the planning details. Use the worklist to trigger actions (for example, create returns order) for multiple repair objects in the same in-house repair simultaneously or for each repair object individually. You can use this app to schedule the diagnosis and the repair of the objects, and assign the service employee. Customer Service Manager - In-House Repair : Manages In-House Repair service processes, including repair planning, monitoring, process optimization and personnel management. Customer Service Representative - In-House Repair : Is responsible for coordinating In-House Repairs and ensuring their correct commercial processing. Manages received devices, quotations, repair orders and billing. S4CRM: In-House Repair Customer Service Representative - In-House Repair| Customer Service Manager - In-House Repair Plan Repairs",0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.002,0.91,0.002,F4152,Other,Plan Repairs,Other,Other,Other,Other,Other,Other,Other,Other,,Other,0.014176249963036262,0.07013912648426797,0.04033021153114291,-0.05569967966560989,-0.03737479421948062,-0.012305717858015578,0.047649256011048365,-0.005520658422260892,-0.021487429744719184,-0.016524461173095303,0.01299221492281025,0.04776152830927048,0.002502559063959609,0.0018302660462303558,0.050914696131548094,-0.0004935657559402832,-0.02964339168450924,-0.031095496767519125,-0.002960837935276659,0.01653923261691485,0.016911712761530605,0.005179965193362125,0.019230309162699844,-0.013565897738248886,-0.03256737509029549,0.11907741854834362,0.04495679062416099,-0.029317869472757902,0.1271935358398121,0.017986062689787616,0.0019032373396591143,-0.05750179598306917,-0.02843635173838444,-0.04132180016238441,-0.03913052073431504,-0.027965356021524994,-0.015207117797917905,-0.01626743834483428,0.031180902626674417,-0.05170584369688711,0.022849125160544555,-0.039574801817039824,-0.010266162050046606,-0.016231017468817787,0.06503977811949632,0.008142846015112407,-0.01278771916415649,-0.009600251707441353,0.04672668010759652,-0.022376547880210002
"Delete Driver This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Transportation Scheduler (Oil & Gas) : Schedules movements along the supply chain. Is responsible for multiple terminals and transport systems (marine, rail, truck, pipeline), multiple products (crude, feed stocks, refined products) and stock transfers, purchase orders, and sales orders. Shipping Specialist (Oil & Gas): (is an add-on role to the Shipping Specialist) Processes outbound deliveries. Additionally performs IS-OIL specific Transportation and Distribution (TD) Shipment Processing, Master Data maintenance for shipment, shipment processing and Traders and Schedulers Workbench (TSW) operations. Transportation and Distribution Shipping Specialist (IOG)| Transportation Scheduler (IOG) Delete Driver",1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,O4D4,,Delete Driver,Other,Other,Other,This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad.,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,Other,,,Other,0.3764405969821694,0.046066829862629624,0.1813707607276097,0.024997324487113375,-0.0016464961557110303,-0.03892733195536022,0.09750568085026981,0.026229573148740623,0.048351488284957625,-0.0458841685726865,0.004171589365304427,0.21368905098069665,0.05453158180199064,-0.20840948602086887,-0.010074179239887132,-0.008510216852124854,-0.07945014126054491,0.0126386244122088,0.08720152035843977,-0.12463451396507778,-0.06462877191883983,-0.005693375487954572,-0.03326273636775505,0.024196386615472083,0.12439826151408431,-0.11626592105220869,-0.35626593187490957,0.4074036699573681,0.1385452984824447,-0.05595504613650981,0.06492653475846055,-0.09402618408900201,-0.03860420067246754,0.036969420644120746,-0.009986092262958034,-0.12714388988409855,-0.09738768284890618,0.1174347444456366,-0.0037390472544394744,-0.04357163807525223,0.012200566197402004,-0.05580956314522469,0.01957174844279752,-0.005865980485848933,0.0348157083453049,-0.05739154254869518,0.005874269157793124,-0.007123231081095797,0.018713037842554937,-0.00234447960225182
"Display Pegged Requirements For the MRP element selected, you can display: just the pegged requirement(s) on the highest BOM level The system displays the requirements quantity and the input quantity for each requirement. The input quantity is the portion of the MRP element that is required to cover the displayed requirement. The input quantity is displayed in the base unit of measure of the material. the order route ; that means all the requirements and replenishment elements that lie between the pegged requirement and the MRP element If an MRP element contains a quantity that was not caused by a requirement from a higher level, the system displays this quantity separately. Quantities without source arise, if more is produced than is required because of a rounding value for the lot size or a fixed lot size or if procurement proposals have been scheduled manually. You can use the Pegged requirements function to retrace from any BOM level which requirements are the source of which procurement proposals which independent requirements (especially sales orders) are affected if a procurement proposal is cancelled or a date or quantity is changed on a lower level. unknown Material Requirements Planning Display Pegged Requirements",0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,MD09,Other,Display Pegged Requirements,Other,,Other,Other,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,unknown,,,Other,0.013153765459557492,0.06886470387748475,0.0370210905543103,-0.06855768117130034,-0.04138654793151322,0.003540041898451379,0.017782568545281596,0.008793013667458669,-0.00854410589338126,0.012718207021179578,0.02081108364951017,0.026651321306197004,-0.05782719106745453,-0.048793536370164974,-0.023106692614362594,0.020694411635806934,-0.06123569539923131,-0.01074581623672601,-0.0014364319237986972,0.0739761551916098,-0.012829552633687145,0.00670935378193489,-0.07012209075354564,0.0015287185826225332,0.030969201807667893,0.017188527644282255,0.029119333116384972,0.006072304227430627,-0.02568188338738793,-0.016586335740141372,-0.008452995298462712,-0.006907323619061128,-0.008726012573860957,-0.002610987159013034,-0.03295446995390251,-0.003223637077904827,-0.005137319544280915,0.010278214875300002,-0.001567715029975624,0.04298637191502712,-0.018363625526905254,0.04371491506154702,-0.03158431313379559,0.021887153456263325,0.029873478378432725,-0.01489340021299818,0.0780114238744716,-0.02644001561116501,0.07202353586307482,0.025561472902377216
Manage Amount for Prepayment Meter This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. unknown Contract Billing Manage Amount for Prepayment Meter,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,EPREPAY,,Manage Amount for Prepayment Meter,Other,,Other,This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad.,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,unknown,,,Other,0.7196304615427828,-0.08000941628328885,-0.058687549744599374,-0.025312595647444248,0.0068750497996754815,-0.0021858959106148858,0.022092928543703646,0.0037264982077936312,-0.0350617557585773,-0.0007158200020372673,-0.00893399289070113,-0.03169509092810567,0.019303889805166802,0.017580431592946533,0.020736980666602973,-0.00619782863908737,0.0018611730380271043,-0.00010664444083794799,0.012259214170491434,-0.0003071270360820462,-0.0021023455240467186,0.03294016789465366,-0.019858268666593754,-0.0006409237441632166,0.015323841523078762,0.006934157669077891,-0.022276183962384333,-0.011280863299031463,-0.01784496556159805,-0.02458530343116561,-0.032865361727156615,0.009744299338500734,-0.016569832774642537,0.0036655037068849426,0.019860811457173312,0.020197900737483496,-0.03584477486469974,-0.043373011289308094,-0.0025730228768673013,0.033078994262646565,-0.012220442588970561,-0.01279414288199246,0.06766693929600116,0.05540348942145945,0.0036320166758575354,0.03689735708063763,0.031181630890622907,0.006910981624351439,0.013379863185087194,-0.016248922913933254
"Create Measurement Document This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Production Operator - Discrete Manufacturing : Operates the machines or does manual assembly activities on the production line or in a shop floor environment, to produce as per the planned production orders of the shift. Reports Yield, Scrap and Rework, Downtimes, etc. into the system. Maintenance Supervisor : Collects, reviews, and prioritizes all maintenance requests from different sources and ensures that they contain all the relevant information required so that the problems can be solved quickly. Measuring points and counters Maintenance Supervisor| Production Operator - Discrete Manufacturing Create Measurement Document",1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,IK11,,Create Measurement Document,Measuring points and counters,Other,Other,This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad.,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,Other,,,Other,0.38393653265046723,0.044267090672037664,0.07426081890218568,-0.15634791381997884,-0.14483128537667783,0.292357193064927,-0.025483816880289056,-0.0957334352837317,0.010046643995898268,-0.03871359106480849,0.002285977323526824,0.047059218384616346,0.058472701038161955,0.14049565227948735,0.008039153421722196,-0.03652983502914005,0.20216785508755394,0.03407675929737715,0.003101065051013397,0.06776428159146647,0.054956397030179224,-0.05550151623245173,0.03709210381967535,0.04780671631648183,-0.007848247718341826,-0.03644033978301723,-0.058570990219985686,0.03213949143673342,-0.004239193787042822,-0.023330590528363664,-0.007955046414090885,0.0257938270475268,-0.010254053457767916,-0.0007882853982381861,0.009635343296807573,-0.00841138295110663,0.00430560462944259,0.002765327778146276,-0.013770052402565392,-0.05312802827891519,-0.08181815499976047,-0.07340730480582108,-0.03409613780691892,-0.0012255892270633887,-0.1552318049564412,-0.0007757509208603453,0.002816753720142547,0.09660757022466167,-0.03897224448837925,-0.1357935798019907
"Production Material Requests You use the production material request for planning and monitoring the supply of products to production, and for the consumption of products by production, using advanced production integration. The system creates a production material request when SAP ERP sends a message containing the required information from production. SAP ERP sends this message when the manufacturing order is released, and WM material staging is triggered, either automatically or in the Production Order Change transaction, either by choosing Function&nbsp;&nbsp;WM Material Staging&nbsp;&nbsp;Execute, or by clicking the WM Material Staging button. If the manufacturing order is changed in SAP ERP, the system updates the production material request in EWM for changes that are relevant for EWM, such as a changed quantity for staging. To view production material requests, on the launchpad for Extended Warehouse Management, choose Work Scheduling&nbsp;&nbsp;Staging for Production&nbsp;&nbsp;Production Material Requests. Warehouse Clerk (Extended Warehouse Management) : Plans and controls processes in a simple warehouse with a strong focus on inbound, outbound, physical inventory, and maintenance of warehouse specific master data. Delivery Processing Warehouse Clerk (EWM) Production Material Requests",0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,_SCWM_PMR,,Production Material Requests,Other,Warehouse Clerk (EWM),Other,Other,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,"Warehouse Clerk (Extended Warehouse Management) : Plans and controls processes in a simple warehouse with a strong focus on inbound, outbound, physical inventory, and maintenance of warehouse specific master data.",,,Other,0.058983533427719746,0.16016402614336564,0.13243242676745393,-0.19500385064115913,-0.1734110714023015,0.08588373458026567,0.024671390225866553,0.09484945221617157,0.2610977487349161,-0.027811146761899098,-0.07785208498724093,-0.1497018633548329,0.17272527598377518,0.0496664681976228,0.005947782124057844,0.06720057143579618,0.022926670768467168,-0.09489286210752865,0.02484011485320205,0.03205260745067808,-0.1257044500315762,-0.11735593280709959,-0.06890168032261834,-0.019363674742946726,0.03176094665628175,-0.061321602243754623,0.058192612502263694,-0.047862697682596045,0.023455115517583065,-0.051265347775568695,0.12030108785056458,0.014731434965228215,0.07428494552393827,-0.10622058450165808,-0.011749916906075153,-0.042398052155262024,0.027963333145734067,0.037576255581201576,0.01697637540189545,0.0827055825100483,-0.05809013176556938,0.0652105669684902,0.03743090246668536,0.0018741732206554844,0.021747546135755736,-0.12479984138082056,0.07959982786946321,-0.03926019212217213,-0.008574469840957733,-0.02713191135064795
"Maintain Device Allocation Device allocation is historical. Time slices in periods that have already been billed can no longer be changed. These time slices can only be displayed. However, you can divide one time slice into two slices and maintain them. Example Time slice: 01/01/1996 to 12/31/1999 Period already billed: 01/01/1996 to 12/31/1999 The time slice is divided into two time slices: 01/01/96 to 12/31/1996 and 01/01/1997 to 12/31/9999. The unlimited time slice is not in the period billed and therefore can be maintained. It is also possible to define an allocation without an allocated device in order to store the attributes of the device allocation. For example, measured pressure can be stored in a pressure regulator allocation although the pressure regulators do no exist in the system. The attributes measured pressure for the pressure regulator allocation or billing factor for transformer allocations are relevant to billing and mandatory for gas meters or meters that do not measure directly. Device allocations can be defined at the register or device level of the controlled device. Metering devices (meaning devices with registers) are allocated at the register level. Devices without registers are always allocated at the device level. The controlling device is always entirely allocated to the controlled device. It is possible that a controlling device (such as a ripple control receiver) has been replaced during the time slice of the device allocation. In this case, the device that is valid at the beginning of the time slice is displayed. You must also set the TM indicator (device not valid for the entire period). You can double-click on this indicator to display the valid devices with corresponding validity periods. You can also display these devices by selecting the appropriate line and choosing Extras&nbsp;&nbsp;History It is also possible to define your own allocation types. To do this, you add new entries to the table of allocation types. These allocations are not relevant to billing, however. This function enables you to allocate devices to one another and store additional attributes. A distinction is made between controlled devices, such as meters, and controlling devices, such as a transformer switched in series. Meter Data Specialist (Utilities) : Is responsible for providing accurate and complete utilities measurement data (register readings, load profiles) in time. Works in the back-office. Organizes and supervises the acquisition of measurement data. Billing Specialist (Utilities) : Is responsible for providing accurate and complete utilities bills for the end customers in time. Works in the back-office. Supervises the billing, invoicing and bill print processes. Device Installation Billing Specialist (Utilities)| Meter Data Specialist (Utilities) Maintain Device Allocation",0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,EG72,Other,Maintain Device Allocation,Other,Other,Other,Other,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,Other,,,Other,0.01618681338795024,0.08718769039863615,0.06272407045804261,-0.05513276207785339,-0.03154484814270211,-0.05764406803464313,0.010373131119155256,0.004847104388944397,-0.05671315121750925,0.04445499531290234,-0.047212923114961274,-0.03799891451171693,0.0008317036391741956,-0.002320836570419191,0.031863596201113904,-0.016461234899292184,-0.011239059815420156,0.01724493301314943,0.05441579928195072,-0.019162731704406594,-0.04190527824965523,-0.021628998183168362,0.04628655280338679,-0.046653248904332506,0.09507357442626026,-0.0070816552171289425,-0.019782271876692625,-0.04919761574706843,-0.0017847614616459085,-0.029980933345056894,-0.004019913158892551,-0.058853965765912605,-0.06819221335362939,-0.008093417690655446,0.0012873272479705202,0.030684558737856818,-0.019478809380520982,-0.019680474160144387,-0.0004442603998443307,-0.007352258108621428,-0.0162161532880518,-0.03552281823745684,-0.009707015190400122,0.016726351917758935,-0.0629575975336138,0.06449116333623285,0.05314733470799997,-0.0016762041580735717,0.07708031340841127,-0.03871098140580996
"Create Annual Sales Listing - Belgium This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. General Ledger Accountant for Belgium: (is an add-on role to the General Ledger Accountant) Carries out the tax and financial reporting tasks needed to fulfill the legal requirements in Belgium. General Ledger Accountant : Carries out daily activities in general ledger, for example by recording transactions and making adjustment postings, and prepares financial statements. S/4HANA Cloud: Authorization Content General Ledger Accountant for Belgium Belgium Create Annual Sales Listing - Belgium",1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,S_ALR_87012371,,Create Annual Sales Listing - Belgium,Other,Other,Other,This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad.,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,Other,,Other,Other,0.36627671749713947,0.156236515357943,-0.06059270720813757,0.053606566789905365,0.021016965155426854,-0.11209300043759934,-0.2136942808444305,-0.17532379364443823,0.03300145589489047,-0.017284966271654,0.0838213746792316,-0.021134070912127795,0.01722218693137291,-0.11079823467039684,-0.007154374622117342,-0.15391186098653797,0.15543055246163356,-0.24357014646309938,-0.023125740939843237,0.01907489064214764,0.18943114369971414,0.017392478376993266,-0.13377586952008091,-0.09433174035927706,0.09326775326483269,-0.0662960016945171,0.13347112169488098,0.16912955683068878,0.03853958872109889,-0.011967608479587225,0.04434070933826958,0.08540034624267513,-0.09676307766260647,-0.02769610273155995,0.05693508058530913,-0.015021830411730592,0.11323056924631013,-0.04233565369806637,-0.004476195420183752,0.012065868329808082,0.09099892792384225,4.320070718082797e-07,-0.05146262513813933,0.012455384975084293,-0.025583617779330735,-0.01191466235990759,0.0407053168113139,-0.04666492337710297,0.01144185917850628,-0.012655531480951695
Generate Reference Assignment - F&R Integration This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Demand Planner (Retail) : Is responsible for forecasting the demand for all different customer sales channels as input to supply and inventory planning. Forecasting and Replenishment backend integration Demand Planner (Retail) F&R Integration Generate Reference Assignment - F&R Integration,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,WRF_REF_AUTO,,Generate Reference Assignment - F&R Integration,Other,Demand Planner (Retail),Other,This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad.,SAP Fiori theme for SAP GUI for HTML (SAP S/4HANA Cloud Private Edition and SAP S/4HANA),SAP Fiori visual theme for classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA,Demand Planner (Retail) : Is responsible for forecasting the demand for all different customer sales channels as input to supply and inventory planning.,,F&R Integration,Other,0.46671429945813453,-0.035889673512892295,-0.011739653164470735,-0.06123718260872594,-0.040688762515528595,0.041144324449359206,0.025358866550699015,0.011280154506055006,0.04790086540444422,-0.006356455068844111,-0.042230906924041946,0.08352219898460832,-0.09298856617873653,-0.17810443605566387,-0.04783181295282413,-0.14661393202977824,-0.224312768150287,-0.17400600225361468,-0.24664270578896832,0.2453344208856749,0.07469020388773584,-0.12839842095103127,0.23255006678160847,-0.11243443950777506,-0.012465257028939266,-0.15642602457542729,-0.0516793377095888,-0.16861431560049997,-0.1869000961390353,0.02138286119395259,0.07804847885606388,-0.15439776833347277,0.08713910171497292,-0.022539697423043195,0.1963001869358088,-0.191684039300102,0.01566150608671642,0.026982144790715847,0.07043562156369036,-0.07885002325505308,0.05808152119314892,-0.11877921933675595,0.016037643655010782,0.0411804822793176,0.041058150510184216,-0.02730667113517058,0.015419141396958255,-0.017371395022234625,0.004203989079951974,-0.012087262239879137
unknown Traders and Schedulers Workbench Events Page,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.818,0.91,0.812,Other,,Other,Other,,,,,,unknown,,,,0.01209923215414725,0.0044479559357757745,0.0030497482682180534,-0.011590045646931158,-0.007314806684954885,-0.010198679578012623,0.011947161017889,0.011234175045013145,-0.0026808072497795654,-0.0017964582417848217,0.002078220889840599,0.02015971474552477,0.007422626101351176,-0.009309771364390929,0.01508989075570341,0.008902429705117024,-0.02046995044218568,0.01715299540787363,0.013367195290122123,-0.013316451366123971,-0.0005295258287982933,0.009969660731138143,-0.01471844487592177,0.011639440073799795,0.03521084437673722,0.006128790168437026,-0.07486908841017016,0.08657309839673727,0.004986483691014499,-0.02291717439495821,-0.008480559863730204,-0.029975853959851206,-0.001856591834409462,0.02103178629731374,0.012616893681394214,-0.046443982399878674,-0.03728093317672104,0.004144268374831783,0.013545027453384068,0.022913790567111757,0.023079457477534027,0.01052250967111956,0.027073887259508943,0.0515356016379118,0.0005523552647564605,0.013933771789744613,0.024143442468940922,0.04698671342035972,-0.024692788727800924,-0.028596882497797037
