fioriId,all_text,pre_label,Label
F4152,"Plan Repairs Call up a worklist of all repair objects to individually plan their diagnosis or repair (statuses Plan: Diagnosis or Plan: Repair). You can filter, sort, and group a list of repair objects to be planned. You can also filter for repair objects to be planned by a specific employee responsible or by the credit status that has been determined in the repair order. Display the details of the repair objects that are currently in planning. You can access the related product and equipment data to check its details.​ Create a returns order to trigger the logistics process for repair objects that customers send for repair. In this case, you can create an outbound delivery to send the repair object back to the customer. Access the repair order to enter the planning details. Use the worklist to trigger actions (for example, create returns order) for multiple repair objects in the same in-house repair simultaneously or for each repair object individually. You can use this app to schedule the diagnosis and the repair of the objects, and assign the service employee. Customer Service Manager - In-House Repair : Manages In-House Repair service processes, including repair planning, monitoring, process optimization and personnel management. Customer Service Representative - In-House Repair : Is responsible for coordinating In-House Repairs and ensuring their correct commercial processing. Manages received devices, quotations, repair orders and billing. S4CRM: In-House Repair Customer Service Representative - In-House Repair| Customer Service Manager - In-House Repair Plan Repairs",0,0
O4D4,"Delete Driver This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Transportation Scheduler (Oil & Gas) : Schedules movements along the supply chain. Is responsible for multiple terminals and transport systems (marine, rail, truck, pipeline), multiple products (crude, feed stocks, refined products) and stock transfers, purchase orders, and sales orders. Shipping Specialist (Oil & Gas): (is an add-on role to the Shipping Specialist) Processes outbound deliveries. Additionally performs IS-OIL specific Transportation and Distribution (TD) Shipment Processing, Master Data maintenance for shipment, shipment processing and Traders and Schedulers Workbench (TSW) operations. Transportation and Distribution Shipping Specialist (IOG)| Transportation Scheduler (IOG) Delete Driver",1,1
MD09,"Display Pegged Requirements For the MRP element selected, you can display: just the pegged requirement(s) on the highest BOM level The system displays the requirements quantity and the input quantity for each requirement. The input quantity is the portion of the MRP element that is required to cover the displayed requirement. The input quantity is displayed in the base unit of measure of the material. the order route ; that means all the requirements and replenishment elements that lie between the pegged requirement and the MRP element If an MRP element contains a quantity that was not caused by a requirement from a higher level, the system displays this quantity separately. Quantities without source arise, if more is produced than is required because of a rounding value for the lot size or a fixed lot size or if procurement proposals have been scheduled manually. You can use the Pegged requirements function to retrace from any BOM level which requirements are the source of which procurement proposals which independent requirements (especially sales orders) are affected if a procurement proposal is cancelled or a date or quantity is changed on a lower level. unknown Material Requirements Planning Display Pegged Requirements",0,0
EPREPAY,Manage Amount for Prepayment Meter This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. unknown Contract Billing Manage Amount for Prepayment Meter,1,1
IK11,"Create Measurement Document This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Production Operator - Discrete Manufacturing : Operates the machines or does manual assembly activities on the production line or in a shop floor environment, to produce as per the planned production orders of the shift. Reports Yield, Scrap and Rework, Downtimes, etc. into the system. Maintenance Supervisor : Collects, reviews, and prioritizes all maintenance requests from different sources and ensures that they contain all the relevant information required so that the problems can be solved quickly. Measuring points and counters Maintenance Supervisor| Production Operator - Discrete Manufacturing Create Measurement Document",1,1
_SCWM_PMR,"Production Material Requests You use the production material request for planning and monitoring the supply of products to production, and for the consumption of products by production, using advanced production integration. The system creates a production material request when SAP ERP sends a message containing the required information from production. SAP ERP sends this message when the manufacturing order is released, and WM material staging is triggered, either automatically or in the Production Order Change transaction, either by choosing Function&nbsp;&nbsp;WM Material Staging&nbsp;&nbsp;Execute, or by clicking the WM Material Staging button. If the manufacturing order is changed in SAP ERP, the system updates the production material request in EWM for changes that are relevant for EWM, such as a changed quantity for staging. To view production material requests, on the launchpad for Extended Warehouse Management, choose Work Scheduling&nbsp;&nbsp;Staging for Production&nbsp;&nbsp;Production Material Requests. Warehouse Clerk (Extended Warehouse Management) : Plans and controls processes in a simple warehouse with a strong focus on inbound, outbound, physical inventory, and maintenance of warehouse specific master data. Delivery Processing Warehouse Clerk (EWM) Production Material Requests",0,0
EG72,"Maintain Device Allocation Device allocation is historical. Time slices in periods that have already been billed can no longer be changed. These time slices can only be displayed. However, you can divide one time slice into two slices and maintain them. Example Time slice: 01/01/1996 to 12/31/1999 Period already billed: 01/01/1996 to 12/31/1999 The time slice is divided into two time slices: 01/01/96 to 12/31/1996 and 01/01/1997 to 12/31/9999. The unlimited time slice is not in the period billed and therefore can be maintained. It is also possible to define an allocation without an allocated device in order to store the attributes of the device allocation. For example, measured pressure can be stored in a pressure regulator allocation although the pressure regulators do no exist in the system. The attributes measured pressure for the pressure regulator allocation or billing factor for transformer allocations are relevant to billing and mandatory for gas meters or meters that do not measure directly. Device allocations can be defined at the register or device level of the controlled device. Metering devices (meaning devices with registers) are allocated at the register level. Devices without registers are always allocated at the device level. The controlling device is always entirely allocated to the controlled device. It is possible that a controlling device (such as a ripple control receiver) has been replaced during the time slice of the device allocation. In this case, the device that is valid at the beginning of the time slice is displayed. You must also set the TM indicator (device not valid for the entire period). You can double-click on this indicator to display the valid devices with corresponding validity periods. You can also display these devices by selecting the appropriate line and choosing Extras&nbsp;&nbsp;History It is also possible to define your own allocation types. To do this, you add new entries to the table of allocation types. These allocations are not relevant to billing, however. This function enables you to allocate devices to one another and store additional attributes. A distinction is made between controlled devices, such as meters, and controlling devices, such as a transformer switched in series. Meter Data Specialist (Utilities) : Is responsible for providing accurate and complete utilities measurement data (register readings, load profiles) in time. Works in the back-office. Organizes and supervises the acquisition of measurement data. Billing Specialist (Utilities) : Is responsible for providing accurate and complete utilities bills for the end customers in time. Works in the back-office. Supervises the billing, invoicing and bill print processes. Device Installation Billing Specialist (Utilities)| Meter Data Specialist (Utilities) Maintain Device Allocation",0,0
S_ALR_87012371,"Create Annual Sales Listing - Belgium This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. General Ledger Accountant for Belgium: (is an add-on role to the General Ledger Accountant) Carries out the tax and financial reporting tasks needed to fulfill the legal requirements in Belgium. General Ledger Accountant : Carries out daily activities in general ledger, for example by recording transactions and making adjustment postings, and prepares financial statements. S/4HANA Cloud: Authorization Content General Ledger Accountant for Belgium Belgium Create Annual Sales Listing - Belgium",1,1
WRF_REF_AUTO,Generate Reference Assignment - F&R Integration This app is a SAP GUI for HTML transaction. These classic transactions are available in the SAP Fiori theme to support a seamless user experience across the SAP Fiori launchpad and to provide a harmonized user experience across on-premise and cloud solutions. The single point of entry for SAP Fiori apps and classic applications in SAP S/4HANA Cloud Private Edition and SAP S/4HANA is the SAP Fiori launchpad. Demand Planner (Retail) : Is responsible for forecasting the demand for all different customer sales channels as input to supply and inventory planning. Forecasting and Replenishment backend integration Demand Planner (Retail) F&R Integration Generate Reference Assignment - F&R Integration,1,1
F2280,unknown Traders and Schedulers Workbench Events Page,0,0
